,tweet_id,date,time,user_name,tweet,loaction
0,1274716498792075264,2020-06-21,14:51:11,Defence_XP,"Army changes rules of engagement on LAC with China, empowers field commanders to allow use of firearms under 'extra… https://t.co/cnc2mNSnQ1",India
1,1274715717980446721,2020-06-21,14:48:04,Defence_XP,"In Frame : Mirage 2000
This sharp looking bird marked a new beginning for India’s counter-terror doctrine.

Video :… https://t.co/0CffmwevNb",India
2,1274711491472572416,2020-06-21,14:31:17,Bhatakate_Aatma,"RT @TaiwanNews886: Letter to the Editor: Ladakh venture China's test of its encircle-India plan

https://t.co/RRQNYlwEIr

#India #Ladakh #I…","gujrat, India"
3,1274711095102435328,2020-06-21,14:29:42,Keshav81646942,"RT @TaiwanNews886: Letter to the Editor: Ladakh venture China's test of its encircle-India plan

https://t.co/RRQNYlwEIr

#India #Ladakh #I…","New Delhi, India"
4,1274706655297499138,2020-06-21,14:12:04,Mukeshdwr,"RT @TaiwanNews886: Letter to the Editor: Ladakh venture China's test of its encircle-India plan

https://t.co/RRQNYlwEIr

#India #Ladakh #I…","Bengaluru, India"
5,1274703467995676678,2020-06-21,13:59:24,sakaltimes,Union Defence Minister #RajnathSingh on Sunday held detailed discussions with Chief of Defence Staff (CDS)… https://t.co/LxXHwkA9Tb,"Maharashtra, India"
6,1274701405580746754,2020-06-21,13:51:12,nation1irst,"RT @TaiwanNews886: Letter to the Editor: Ladakh venture China's test of its encircle-India plan

https://t.co/RRQNYlwEIr

#India #Ladakh #I…",india
7,1274697429468672000,2020-06-21,13:35:24,Kumarjkumbhar,"RT @TaiwanNews886: Letter to the Editor: Ladakh venture China's test of its encircle-India plan

https://t.co/RRQNYlwEIr

#India #Ladakh #I…","Latur, India"
8,1274693276671414277,2020-06-21,13:18:54,newsfileonline,"Deadly diplomacy and unintelligible intelligence
#IndiaChinaBorder #IndiaChinaBorderTension #IndiaChinaFaceOffNow 

https://t.co/38vzvvinY2",India
9,1274692679008305153,2020-06-21,13:16:31,CertifiedUserIN,"RT @TaiwanNews886: Letter to the Editor: Ladakh venture China's test of its encircle-India plan

https://t.co/RRQNYlwEIr

#India #Ladakh #I…","Uttar Pradesh, India"
10,1274689438853902337,2020-06-21,13:03:39,2Specs,"Sunday Tech Poll
Comments your opinion expect iPhone
.
.
.
.
#IndiaChinaBorder #IndiaChinaBorderTension #IndianArmy… https://t.co/mT6dSqJRhj",india
11,1274688666246373376,2020-06-21,13:00:35,LonelyStranger_,"CCP - Congress Communist Party...

#IndiaChinaBorderTension",India
12,1274687994348224512,2020-06-21,12:57:55,Tosh12258448,"RT @TaiwanNews886: Letter to the Editor: Ladakh venture China's test of its encircle-India plan

https://t.co/RRQNYlwEIr

#India #Ladakh #I…",India
13,1274685916016111617,2020-06-21,12:49:39,MKSinghGkp,"RT @smritikak: “Let’s hurt them economically other things will follow” ⁦@Gen_VKSingh⁩ on what can be an apt response to #China 

#IndiaChin…","Gorakhpur, New Delhi, India"
